voice day 1;voice day 2;voice day 3;voice day 4;voice day 5;voice day 6
1;23;21;9;9;42
1;1;0;9;0;3
19;21;5;18;13;19
177;241;266;353;315;322
0;0;0;0;2;0
18;13;4;18;12;21
458;292;479;342;413;638
324;321;179;161;93;306
371;70;55;45;97;24
1;0;0;0;1;0
489;445;672;257;477;345
1;4;3;3;2;2
3;5;1;4;4;5
0;1;0;1;0;1
1;13;23;0;12;1
2;10;0;13;16;4
419;627;540;365;362;497
11;5;38;8;27;16
85;19;62;21;85;35
239;153;98;320;166;126
94;52;31;34;34;104
214;237;239;183;348;302
16;18;18;18;16;9
47;125;208;114;95;128
3;1;2;4;1;2
1071;898;1003;1100;992;939
0;0;1;0;1;1
1;1;2;2;2;2
1;1;2;0;1;1
59;10;84;106;75;70
1;1;1;1;1;1
29;32;28;4;4;25
0;0;3;0;1;9
1;5;26;2;8;41
1;0;1;1;1;1
0;1;0;1;1;1
0;1;1;0;0;0
3;1;3;4;3;2
311;495;470;448;460;373
3;10;12;9;5;19
41;2;20;10;4;24
14;8;12;2;2;6
20;40;20;27;1;22
4;1;1;0;0;5
0;34;13;51;9;40
210;27;115;122;134;227
150;309;61;97;145;194
14;22;40;51;16;12
76;118;132;121;108;83
597;256;455;382;400;499
25;48;20;30;55;12
7;2;11;0;4;2
103;72;62;190;26;218
3;24;10;6;16;6
277;327;247;264;245;189
40;78;70;50;27;34
44;42;39;26;82;70
782;661;451;596;678;329
75;135;178;121;258;93
37;110;97;105;128;26
80;135;49;58;174;93
59;50;151;50;98;35
5;15;7;11;12;11
21;6;1;42;31;6
223;195;155;108;211;240
3;0;8;16;6;0
216;259;288;276;176;238
1;0;5;1;0;5
3;5;3;0;9;0
1203;1177;800;916;846;1665
1;0;1;1;0;0
38;48;24;29;27;75
11;1;6;13;1;0
3;6;8;2;2;3
5;11;11;6;1;4
32;11;25;16;22;2
10;20;41;9;11;8
7;52;23;20;27;18
48;29;94;59;80;74
57;51;73;149;121;127
1041;1083;1644;1843;1489;1563
223;37;238;126;1019;247
3;1;2;0;2;6
1480;2158;1748;1872;1509;1928
3;11;5;8;7;6
51;110;71;71;43;23
375;792;802;483;760;851
2;0;1;0;0;1
57;16;83;54;50;62
2;11;4;3;2;1
2;0;39;0;0;0
3;0;3;0;6;0
0;0;0;8;6;1
3;2;26;60;96;19
7;14;21;10;86;30
3;5;7;3;1;5
4;26;16;22;14;12
13;1;8;18;24;9
6;45;46;27;29;5
11;8;24;0;6;8
101;86;97;135;49;114
2;0;14;5;5;1
0;0;0;0;0;0
14;75;33;134;15;50
242;285;244;131;327;352
59;27;19;29;24;17
7;14;6;1;11;15
63;88;44;18;14;16
53;100;58;77;27;81
7;0;1;1;1;1
1;9;5;0;12;15
0;1;0;0;0;5
287;61;126;169;231;193
280;311;718;511;378;541
3;1;1;1;2;1
2;0;0;1;0;0
16;24;7;2;32;18
62;42;104;69;268;77
895;723;698;730;1160;716
750;715;587;837;365;1007
5;2;3;4;4;5
0;0;0;0;0;2
2;3;1;2;4;3
52;30;50;14;29;61
371;446;266;744;522;375
1;1;0;0;1;1
53;5;12;4;1;4
102;46;85;85;35;125
552;532;531;338;583;493
9;6;5;1;4;10
182;227;99;122;137;122
205;255;369;192;250;454
210;46;174;148;185;132
0;1;8;0;0;1
1;6;92;5;13;0
166;183;221;170;244;105
111;289;159;127;125;319
1;2;1;2;1;2
0;0;3;0;0;0
11;9;59;58;89;29
2;0;1;0;0;1
69;72;27;86;14;20
0;0;1;4;0;0
61;144;180;197;199;134
180;409;166;454;279;199
21;1;10;16;0;1
11;9;28;3;23;31
19;13;7;21;12;16
312;313;243;307;284;256
20;5;2;10;6;22
4;6;22;11;9;27
331;358;541;736;388;575
2036;1946;1008;1798;1505;1437
845;780;359;548;422;701
45;2;86;129;1;65
150;210;184;247;151;225
26;1;27;23;24;85
249;129;186;252;167;147
0;4;0;1;0;1
322;232;150;123;289;150
0;5;0;5;3;0
1;1;1;2;1;0
68;70;22;81;95;139
154;127;151;220;242;184
5;2;10;4;13;1
1;0;16;36;10;5
4;5;6;2;0;3
278;112;261;253;211;287
2;8;6;2;5;5
0;0;3;0;3;2
1;1;1;1;1;1
821;551;349;568;270;355
105;106;74;201;167;237
24;57;19;73;18;27
0;214;25;5;67;6
2;2;2;1;3;2
4;4;4;2;5;3
4;12;11;7;3;6
1;0;1;1;1;1
1174;1409;1209;1260;1166;1006
1;0;1;0;2;0
640;737;515;916;524;752
183;81;182;127;123;231
360;286;509;109;326;198
7;12;30;15;28;20
66;142;176;114;192;79
18;12;21;15;11;77
344;95;198;173;268;192
1;4;2;0;2;2
760;588;1008;829;954;872
61;3;2;3;3;7
2;1;1;4;3;7
775;829;485;790;536;710
3;0;3035;8;0;3
94;30;16;32;26;27
7;9;1;2;0;0
1;0;3;0;0;0
593;458;451;314;436;329
47;6;20;22;3;22
52;52;97;39;8;21
134;154;154;28;66;93
0;2;5;17;3;1
16;2;6;3;0;16
41;53;51;51;46;75
8;3;3;8;7;5
745;655;799;456;824;808
7;6;0;50;38;3
550;624;774;496;358;393
100;35;20;30;32;164
6;5;6;7;6;9
371;264;351;366;250;335
4;13;5;11;5;9
1;0;0;0;0;1
981;1036;1076;805;1310;1176
101;71;98;70;125;102
2;8;6;5;7;5
3036;2287;2394;3469;3012;3564
3;27;39;46;29;12
742;719;419;398;466;362
270;303;312;218;365;397
50;102;126;250;198;60
0;3;0;0;0;4
5;2;2;7;3;2
119;193;218;154;67;64
0;2;1;1;0;0
36;1;15;12;33;2
10;6;2;17;15;68
488;224;440;481;302;462
7;5;3;8;7;24
65;48;47;69;78;44
1;2;1;1;1;2
88;46;170;127;104;54
256;200;113;251;73;247
0;0;0;0;1;0
3;2;1;1;1;1
53;50;5;26;41;14
8;2;8;17;6;25
363;458;640;743;481;630
6;0;2;4;5;5
5;7;4;5;11;8
784;824;944;792;692;848
6;2;1;0;7;0
60;71;72;41;114;84
1;14;1;3;12;1
9;19;10;26;11;9
230;170;156;134;105;34
1;0;0;1;0;1
175;159;265;146;234;233
49;37;101;145;62;9
1;1;1;1;1;1
1;1;1;1;1;1
6;3;2;14;3;65
1;1;0;0;1;0
1576;1596;1517;1755;1398;1835
1;2;1;1;2;2
80;76;18;10;52;21
89;128;179;2811;122;164
0;1;0;0;0;0
17;1;6;11;15;11
1;1;0;1;0;9
0;3;1;0;0;2
0;2;0;0;0;1
1;1;1;1;1;1
1;2;1;1;0;0
32;26;4;14;14;51
9;13;16;6;37;7
23;17;26;13;1;53
1;0;5;32;2;2
6;2;2;0;2;2
13;3;34;18;13;19
5;4;2;4;7;2
2;0;11;1;11;0
849;1005;958;769;1107;949
43;12;71;62;55;63
46;52;32;4;341;10
32;19;68;31;5;35
10;8;20;5;37;5
123;93;84;80;55;86
8;5;6;2;10;11
1;1;1;1;1;1
1078;1118;1141;1536;1021;1365
0;36;4;1;8;0
90;5;9;1;11;4
2;3;1;1;3;2
1;0;1;0;0;1
1179;798;1040;703;637;1178
1;1;1;1;1;1
41;83;25;87;79;21
663;1262;602;599;831;919
15;14;14;38;15;16
0;3;1;0;1;0
50;34;41;68;123;66
87;261;178;97;101;229
7;6;23;6;2;6
1;1;1;1;2;8
19;18;11;11;54;14
53;56;68;43;57;3
56;93;153;44;79;92
0;4;0;5;0;3
89;146;158;117;51;34
3;2;2;2;5;7
2;3;2;7;7;4
11;1;3;42;78;8
55;225;184;172;122;91
17;24;2;12;5;7
5;8;25;6;6;6
1165;985;839;1095;1377;1210
2546;1433;1844;1896;1811;2098
1;1;2;2;1;3
6;3;27;20;35;6
108;81;59;82;116;29
77;183;62;250;178;170
0;1;3;0;0;0
5;2;3;5;2;6
185;328;455;241;196;169
69;131;182;237;232;160
205;225;240;128;165;94
3;7;4;1;5;1
517;478;761;508;914;295
228;260;257;242;1595;222
229;252;242;244;260;188
746;515;592;621;528;244
148;1427;222;216;207;169
58;55;20;79;41;137
198;202;256;215;175;294
822;804;690;767;743;926
1;5;8;4;7;5
1;8;17;7;5;4
15;5;2;4;7;13
211;228;266;205;90;152
306;362;874;532;808;732
693;843;807;692;456;595
2;2;2;1;2;1
108;128;69;153;5;95
41;108;71;120;80;51
203;713;118;205;125;149
1;2;4;1;0;2
2;1;0;0;1;0
2;4;6;5;3;3
102;267;175;69;67;102
0;200;33;47;0;6
790;525;611;401;858;634
23;19;19;4;6;16
161;180;231;168;169;164
37;29;41;9;11;15
2749;1936;2701;1790;1875;1960
0;1;0;0;3;0
406;231;512;420;435;230
854;1005;899;1143;775;5980
0;0;1;5;1;4
16;1;15;66;2;4
636;560;607;688;653;490
121;192;155;107;146;100
1;0;0;0;0;0
10;7;5;4;4;14
25;17;13;14;12;14
198;138;54;158;112;60
244;189;163;115;56;153
187;198;221;214;94;261
0;3;0;0;28;6
49;42;28;55;54;9
278;328;424;303;250;612
196;119;131;133;248;324
0;1;0;0;0;0
4064;3652;3170;4438;2792;3541
22;50;26;28;20;19
3512;3546;2508;3022;3955;3395
25;1;4;0;0;5
2;0;0;0;0;2
1;1;0;6;5;12
750;1306;1526;873;977;952
1132;1728;1292;1360;1636;1095
24;38;74;39;46;13
60;27;79;33;125;53
12;27;46;18;14;6
1;1;2;2;24;3
2;0;55;1;0;0
130;23;125;224;71;84
1;1;1;1;1;1
9;7;11;4;11;9
2;0;1;0;1;0
1;2;1;2;1;1
1718;1396;1661;1518;1958;1241
3;1;3;2;3;4
147;111;53;268;173;143
175;107;138;102;156;45
32;14;23;31;47;39
1;1;0;5;1;2
328;327;294;136;201;60
2;0;0;3;1;1
1235;1104;1087;1622;1146;1454
2;3;1;2;1;2
0;0;0;1;0;1
6;3;14;1;2;4
2;0;0;3;0;0
1;1;2;1;1;1
186;143;151;75;102;89
1;4;1;6;1;2
20;25;55;46;10;30
0;1;0;0;1;0
236;149;194;323;250;124
55;61;25;104;24;96
106;39;67;218;136;143
1;6;1;2;0;0
3;4;2;4;0;8
119;74;85;58;75;150
44;47;112;69;51;35
169;38;89;138;139;92
7;6;4;1;6;10
19;44;46;42;30;11
83;26;61;88;69;66
29;71;15;9;13;27
76;18;36;28;22;29
6;5;4;4;4;2
4;3;3;23;1;9
540;455;504;414;388;228
6;0;1;3;0;0
2;0;3;1;1;7
54;55;37;13;55;59
1;1;2;0;0;1
51;26;33;57;13;27
255;848;713;505;659;725
0;0;5;5;23;40
157;0;2;0;2;0
0;0;0;1;0;0
1030;777;617;568;669;759
63;65;56;74;98;147
638;862;550;2640;466;600
14;2;4;2;4;4
660;1044;838;881;981;791
117;290;101;157;281;154
2;3;1;2;2;2
14;42;4;5;4;6
0;0;1;1;1;1
2;24;19;79;8;10
28;112;130;59;66;48
1;6;1;7;2;1
13;7;3;6;28;23
31;58;23;56;46;54
24;66;52;23;41;55
1;0;1;1;1;1
20;3;31;63;18;29
2220;2385;2031;1871;2763;1842
37;45;57;83;33;116
2;2;1;1;1;2
620;439;409;604;354;381
1;0;0;8;2;0
1497;1970;1298;1601;1661;1617
107;64;112;46;93;102
72;155;173;187;137;174
24;46;31;10;17;20
8;1;1;0;17;24
