ID;upload_mb
1306;2309841
1307;140684
1308;1664
1309;1747958
1310;267711
1311;3967145
1312;5481015
1313;4281
1314;370395
1315;3353311
1316;10
1317;76796
1318;293475
1319;6885646
1320;291141
1321;423518
1322;4500396
1323;670239
1324;2570148
1325;10921
1326;7
1327;43
1328;128159
1329;472
1330;36397
1331;10
1332;26572
1333;753020
1334;250
1335;106103
1336;261631
1337;48230
1338;396512
1339;2595
1340;496426
1341;16963
1342;296478
1343;649
1344;16983
1345;2928
1346;34991
1347;5528
1348;1383377
1349;12
1350;458346
1351;1144259
1352;12073
1353;260
1354;0
1355;316528
1356;690131
1357;129
1358;180195
1359;72799
1360;13021442
1361;774314
1362;50968
1363;2204
1364;274199
1365;9786
1366;442248
1367;6990
1368;7530
1369;3391320
1370;7192945
1371;7
1372;3112
1373;117
1374;50126
1375;666
1376;2191002
1377;378119
1378;655165
1379;112955
1380;510
1381;30
1382;4545878
1383;35522
1384;219333
1385;22
1386;1207
1387;59391
1388;6882766
1389;1991
1390;993653
1391;4097610
1392;9697
1393;1759929
1394;466185
1395;212098
1396;658163
1397;903379
1398;2153276
1399;2296544
1400;469
1401;50126
1402;1072
1403;853901
1404;1156790
1405;24193
1406;129197
1407;1805253
1408;593296
1409;5509
1410;461242
1411;2501
1412;224
1413;1
1414;29075
1415;670570
1416;1956
1417;3
1418;5820838
1419;3241412
1420;448124
1421;194894
1422;195507
1423;723558
1424;1306251
1425;4307
1426;436563
1427;845
1428;26295
1429;88982
1430;15554
1431;440
1432;2519133
1433;6139839
1434;0
1435;3436
1436;16323
1437;335
1438;6692377
1439;151
1440;182
1441;4588
1442;308303
1443;15536
1444;8220596
1445;1789124
1446;414251
1447;1082984
1448;3190
1449;782415
1450;45280572
1451;1110898
1452;27132
1453;2000
1454;8
1455;59
1456;154543
1457;3972
1458;187
1459;124
1460;60074
1461;12
1462;1640653
1463;1127559
1464;84163
1465;45
1466;0
1467;4
1468;8912137
1469;164387
1470;21
1471;3920
1472;18328
1473;1150574
1474;28475
1475;3117
1476;1528
1477;5477
1478;64943
1479;40275
1480;1089831
1481;20991
1482;2996694
1483;892239
1484;1795805
1485;387808
1486;19
1487;2089
1488;5882623
1489;32
1490;2485925
1491;7231142
1492;16793
1493;1048999
1494;25564
1495;231375
1496;7494
1497;87637
1498;84278
1499;463090
1500;0
1501;34672
1502;1479
1503;466152
1504;1782110
1505;81966
1506;0
1507;10420802
1508;1008320
1509;38738
1510;615479
1511;189241
1512;7836
1513;157051
1514;12168533
1515;640
1516;220466
1517;8223
1518;9808
1519;19116
1520;150
1521;288
1522;2785639
1523;115232
1524;6809
1525;452923
1526;330
1527;23439578
1528;94445
1529;195483
1530;3234871
1531;1167656
1532;7166
1533;68453
1534;860150
1535;12175
1536;64
1537;4398827
1538;87451
1539;22558
1540;19026380
1541;1150727
1542;152573
1543;376080
1544;36687
1545;1920315
1546;2
1547;491287
1548;2649
1549;2739939
1550;790985
1551;82457
1552;1048253
1553;123096
1554;1526
1555;134634
1556;1483884
1557;37476
1558;192737
1559;333987
1560;10676594
1561;34
1562;248008
1563;525126
1564;50161
1565;919371
1566;1683242
1567;4860
1568;88419
1569;260881
1570;976806
1571;18533
1572;104
1573;20334476
1574;2376637
1575;35
1576;136
1577;3
1578;63
1579;0
1580;2855490
1581;177906
1582;528078
1583;3
1584;175504
1585;37858
1586;14852
1587;1407
1588;8765
1589;40189
1590;68
1591;156948
1592;2057
1593;122182
1594;818034
1595;165991
1596;4646
1597;3659
1598;2777281
1599;38751
1600;140
1601;27326
1602;40037
1603;0
1604;633
1605;5982
1606;54628
1607;19346
1608;1611
1609;643468
1610;321605
1611;4926
