room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
19621678,1482,138014215,Entire home/apt,,Nice,,IZ,0,0,1,3,,516,,47:58.3,43.697967,7.294692,0101000020E6100000439259BDC32D1D40F7578FFB56D94540
15458055,1482,1835819,Entire home/apt,,Nice,,AB,3,4,8,4,,603,,47:58.3,43.718228,7.317563,0101000020E6100000B8AD2D3C2F451D40278925E5EEDB4540
15878358,1482,84955120,Entire home/apt,,Nice,,KY,0,0,6,2,,633,,47:58.3,43.698476,7.258572,0101000020E61000002FA52E19C7081D403C855CA967D94540
2899092,1482,14818109,Entire home/apt,,Nice,,EP,1,0,10,5,,687,,47:56.6,43.744269,7.263163,0101000020E6100000A911FA997A0D1D409C36E33444DF4540
1730954,1482,4038618,Entire home/apt,,Nice,,HK,3,4.5,6,3,,633,,47:56.6,43.72978,7.274865,0101000020E61000009A42E73576191D402FA3586E69DD4540
1092188,1482,6000440,Entire home/apt,,Nice,,IS,29,5,16,7,,533,,47:56.6,43.709109,7.296791,0101000020E610000011FDDAFAE92F1D404E266E15C4DA4540
1019340,1482,3993290,Entire home/apt,,Nice,,IV,16,4,14,6,,663,,47:56.6,43.707196,7.299542,0101000020E61000001D1D5723BB321D4057EE056685DA4540
17101093,1482,18376692,Entire home/apt,,Nice,,ML,0,0,8,4,,653,,47:56.6,43.703851,7.240087,0101000020E61000006DC7D45DD9F51C40E22021CA17DA4540
10079913,1482,36325561,Entire home/apt,,Nice,,MZ,7,5,8,3,,579,,47:56.6,43.695084,7.217794,0101000020E6100000620FED6305DF1C4087FC3383F8D84540
19673078,1482,14166880,Entire home/apt,,Nice,,ID,0,0,8,4,,603,,47:56.6,43.721231,7.313585,0101000020E61000008C101E6D1C411D4042EE224C51DC4540
7249879,1482,37856653,Entire home/apt,,Nice,,AM,2,0,6,3,,579,,47:56.6,43.711292,7.31758,0101000020E6100000697407B133451D4006F4C29D0BDB4540
17310432,1482,2635237,Entire home/apt,,Nice,,LC,6,5,8,4,,543,,47:56.6,43.700304,7.268701,0101000020E6100000289CDD5A26131D4006A1BC8FA3D94540
17921416,1482,117738447,Entire home/apt,,Nice,,MC,0,0,8,4,,587,,47:56.6,43.711593,7.237312,0101000020E61000001DCBBBEA01F31C400188BB7A15DB4540
1281157,1482,1395191,Entire home/apt,,Nice,,MY,14,5,10,5,,663,,47:56.6,43.692744,7.221491,0101000020E6100000F06E6589CEE21C400740DCD5ABD84540
3279560,1482,6819057,Entire home/apt,,Nice,,OL,4,5,8,4,,663,,47:56.6,43.691443,7.208123,0101000020E61000007F2E1A321ED51C402906483481D84540
959550,1482,5221840,Entire home/apt,,Nice,,NI,0,0,10,4,,663,,47:56.6,43.688914,7.22293,0101000020E61000006A300DC347E41C40D6E07D552ED84540
10578196,1482,13411279,Entire home/apt,,Nice,,EN,1,0,10,4,,589,,47:56.6,43.736103,7.253457,0101000020E6100000E3C4573B8A031D4066BE839F38DE4540
16822018,1482,111732050,Entire home/apt,,Nice,,MO,3,4.5,12,4,,603,,47:56.6,43.693379,7.252135,0101000020E610000035B56CAD2F021D40D95DA0A4C0D84540
2725482,1482,3335092,Entire home/apt,,Nice,,MP,29,4.5,6,2,,571,,47:56.6,43.689749,7.243346,0101000020E61000001D739EB12FF91C406FB9FAB149D84540
20062490,1482,142178493,Entire home/apt,,Nice,,AK,0,0,10,5,,577,,47:56.6,43.715181,7.317661,0101000020E6100000CFDBD8EC48451D403CDC0E0D8BDB4540
19526752,1482,29951554,Entire home/apt,,Nice,,EC,0,0,10,5,,663,,47:56.6,43.720452,7.261783,0101000020E61000005798BED7100C1D403D2B69C537DC4540
5726806,1482,9327501,Entire home/apt,,Nice,,AH,2,0,8,4,,313,,47:55.3,43.753515,7.264364,0101000020E61000007FF5B86FB50E1D40D105F52D73E04540
2680103,1482,11319864,Entire home/apt,,Nice,,KS,66,5,8,4,,380,,47:55.3,43.695774,7.275732,0101000020E6100000BAD7497D591A1D401CB4571F0FD94540
3511232,1482,17678617,Entire home/apt,,Nice,,HP,2,0,6,3,,313,,47:55.2,43.746644,7.303853,0101000020E61000007C2AA73D25371D4098E0D40792DF4540
2774721,1482,14190550,Entire home/apt,,Nice,,AO,0,0,4,2,,324,,47:55.2,43.709202,7.31606,0101000020E6100000884B8E3BA5431D40FF209221C7DA4540
14462633,1482,89105435,Entire home/apt,,Nice,,NM,0,0,6,3,,324,,47:55.2,43.684208,7.212552,0101000020E61000002DCC423BA7D91C40AED4B32094D74540
1749646,1482,3137714,Entire home/apt,,Nice,,HE,3,5,6,3,,332,,47:55.2,43.725824,7.276119,0101000020E610000086376BF0BE1A1D40725303CDE7DC4540
19032054,1482,81315322,Entire home/apt,,Nice,,0C,0,0,8,5,,471,,47:55.2,43.759972,7.259925,0101000020E6100000B5A679C7290A1D4017F032C346E14540
8618340,1482,32044214,Entire home/apt,,Nice,,AI,4,4.5,12,5,,362,,47:53.4,43.738945,7.286629,0101000020E61000003A57941282251D407845F0BF95DE4540
10114953,1482,23567335,Entire home/apt,,Nice,,MP,0,0,10,6,,325,,47:53.4,43.690356,7.242602,0101000020E6100000DAC69FA86CF81C40774CDD955DD84540
2644056,1482,13521338,Entire home/apt,,Nice,,IR,7,4.5,6,4,,386,,47:53.4,43.714137,7.29498,0101000020E610000075E5B33C0F2E1D4089EE59D768DB4540
13347076,1482,75637968,Entire home/apt,,Nice,,DM,0,0,11,5,,344,,47:53.4,43.740743,7.238031,0101000020E610000099BC0166BEF31C40D7DEA7AAD0DE4540
6484465,1482,33880671,Entire home/apt,,Nice,,BV,2,0,6,3,,355,,47:53.4,43.718755,7.216003,0101000020E6100000FF59F3E32FDD1C40126BF12900DC4540
15885843,1482,79099957,Entire home/apt,,Nice,,KN,1,0,5,3,,325,,47:53.4,43.694993,7.28251,0101000020E6100000FE2B2B4D4A211D4076F9D687F5D84540
6511454,1482,15013806,Entire home/apt,,Nice,,CV,1,0,8,3,,362,,47:53.4,43.717322,7.217393,0101000020E61000006F8445459CDE1C40C5591135D1DB4540
6765093,1482,11704326,Entire home/apt,,Nice,,KN,0,0,4,2,,338,,47:53.4,43.694594,7.280139,0101000020E61000002A560DC2DC1E1D40B9FFC874E8D84540
14292797,1482,87247834,Entire home/apt,,Nice,,AO,0,0,8,4,,345,,47:53.4,43.747427,7.261189,0101000020E6100000BE4C1421750B1D40DE921CB0ABDF4540
2251380,1482,9057513,Entire home/apt,,Nice,,AT,3,4,8,4,,458,,47:53.4,43.736718,7.214048,0101000020E6100000CA181F662FDB1C40F12F82C64CDE4540
7264997,1482,38036930,Entire home/apt,,Nice,,DS,0,0,10,5,,362,,47:53.4,43.747675,7.243077,0101000020E6100000A1A3552DE9F81C40B6847CD0B3DF4540
2556241,1482,2369570,Entire home/apt,,Nice,,AP,1,0,4,3,,365,,47:53.4,43.704605,7.312811,0101000020E6100000F450DB8651401D408ECC237F30DA4540
